freqtrade backtesting -c user_data/configs/webserver_config.json -s NASOSv5_mod4_E0V1E --timerange=20240101- --enable-protections
Result for strategy NASOSv5_mod4_E0V1E
                                                 BACKTESTING REPORT
┏━━━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃            Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃ Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│ 1MBABYDOGE/USDT │      9 │         0.88 │          82.616 │        82.62 │      4:09:00 │    5     0     4  55.6 │
│       CELO/USDT │      5 │         2.07 │          82.578 │        82.58 │      3:06:00 │    3     0     2  60.0 │
│        DYM/USDT │     10 │         2.29 │          82.452 │        82.45 │      2:44:00 │    8     0     2  80.0 │
│      ALICE/USDT │     13 │         1.23 │          79.114 │        79.11 │      1:40:00 │   10     0     3  76.9 │
│        WLD/USDT │     13 │         0.83 │          75.791 │        75.79 │      2:06:00 │   10     0     3  76.9 │
│       SHIB/USDT │      9 │         2.97 │          71.723 │        71.72 │      1:48:00 │    9     0     0   100 │
│          G/USDT │      5 │          1.3 │          69.819 │        69.82 │      3:34:00 │    3     0     2  60.0 │
│     PORTAL/USDT │      7 │         1.77 │          66.933 │        66.93 │      2:41:00 │    6     0     1  85.7 │
│        KMD/USDT │     21 │         0.39 │          66.864 │        66.86 │      2:15:00 │   15     0     6  71.4 │
│       ARPA/USDT │     17 │        -0.57 │          65.408 │        65.41 │      2:48:00 │    9     0     8  52.9 │
│      SPELL/USDT │     18 │         0.82 │          62.300 │         62.3 │      2:48:00 │   13     0     5  72.2 │
│         OM/USDT │     61 │         1.51 │          61.753 │        61.75 │      1:52:00 │   47     0    14  77.0 │
│        UNI/USDT │      4 │          1.0 │          60.441 │        60.44 │      3:26:00 │    4     0     0   100 │
│        FUN/USDT │      4 │         3.98 │          57.918 │        57.92 │      0:38:00 │    4     0     0   100 │
│        TKO/USDT │      6 │         2.39 │          56.940 │        56.94 │      3:04:00 │    4     0     2  66.7 │
│       PEPE/USDT │     23 │         0.46 │          56.059 │        56.06 │      2:10:00 │   17     0     6  73.9 │
│       FLUX/USDT │     12 │         1.89 │          55.436 │        55.44 │      2:55:00 │    9     0     3  75.0 │
│        MBL/USDT │      6 │         -1.8 │          54.332 │        54.33 │      6:04:00 │    2     0     4  33.3 │
│        CFX/USDT │      3 │         1.13 │          52.782 │        52.78 │      2:57:00 │    2     0     1  66.7 │
│        XAI/USDT │     27 │         2.16 │          52.778 │        52.78 │      2:27:00 │   22     0     5  81.5 │
│       MBOX/USDT │     15 │         1.11 │          41.396 │         41.4 │      3:43:00 │    9     0     6  60.0 │
│        WIF/USDT │     33 │         0.54 │          39.883 │        39.88 │      2:55:00 │   22     0    11  66.7 │
│      STEEM/USDT │      3 │         2.42 │          38.713 │        38.71 │      3:03:00 │    3     0     0   100 │
│      CYBER/USDT │     10 │         0.05 │          37.614 │        37.61 │      3:32:00 │    6     0     4  60.0 │
